DATE,EVENT,BOUT,FIGHTER,odds
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Abdul Razak Alhassan vs. Omari Akhmedov,Abdul Razak Alhassan,-102
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Abdul Razak Alhassan vs. Omari Akhmedov,Omari Akhmedov,102
2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Abel Trujillo vs. James Vick,Abel Trujillo,107
2017-02-04,UFC Fight Night: Bermudez vs. The Korean Zombie,Abel Trujillo vs. James Vick,James Vick,-107
2016-01-02,UFC 195: Lawler vs Condit,Abel Trujillo vs. Tony Sims,Abel Trujillo,131
2016-01-02,UFC 195: Lawler vs Condit,Abel Trujillo vs. Tony Sims,Tony Sims,-131
2015-10-03,UFC 192: Cormier vs Gustafsson,Adriano Martins vs. Islam Makhachev,Adriano Martins,200
2015-10-03,UFC 192: Cormier vs Gustafsson,Adriano Martins vs. Islam Makhachev,Islam Makhachev,-200
2017-04-22,UFC Fight Night: Swanson vs. Lobov,Al Iaquinta vs. Diego Sanchez,Al Iaquinta,-182
2017-04-22,UFC Fight Night: Swanson vs. Lobov,Al Iaquinta vs. Diego Sanchez,Diego Sanchez,182
2015-10-03,UFC 192: Cormier vs Gustafsson,Alan Jouban vs. Albert Tumenov,Alan Jouban,117
2015-10-03,UFC 192: Cormier vs Gustafsson,Alan Jouban vs. Albert Tumenov,Albert Tumenov,-117
2015-07-15,UFC Fight Night: Mir vs Duffee,Alan Jouban vs. Matt Dwyer,Alan Jouban,115
2015-07-15,UFC Fight Night: Mir vs Duffee,Alan Jouban vs. Matt Dwyer,Matt Dwyer,-115
2016-12-17,UFC on FOX: VanZant vs. Waterson,Alan Jouban vs. Mike Perry,Alan Jouban,111
2016-12-17,UFC on FOX: VanZant vs. Waterson,Alan Jouban vs. Mike Perry,Mike Perry,-111
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Alan Jouban vs. Niko Price,Alan Jouban,-117
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Alan Jouban vs. Niko Price,Niko Price,117
2016-09-24,UFC Fight Night: Cyborg vs. Lansberg,Alan Patrick vs. Stevie Ray,Alan Patrick,126
2016-09-24,UFC Fight Night: Cyborg vs. Lansberg,Alan Patrick vs. Stevie Ray,Stevie Ray,-126
2016-05-08,UFC Fight Night: Overeem vs Arlovski,Albert Tumenov vs. Gunnar Nelson,Albert Tumenov,-156
2016-05-08,UFC Fight Night: Overeem vs Arlovski,Albert Tumenov vs. Gunnar Nelson,Gunnar Nelson,156
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Alejandro Perez vs. Andre Soukhamthath,Alejandro Perez,-114
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Alejandro Perez vs. Andre Soukhamthath,Andre Soukhamthath,114
2015-06-13,UFC 188: Velasquez vs Werdum,Alejandro Perez vs. Patrick Williams,Alejandro Perez,-107
2015-06-13,UFC 188: Velasquez vs Werdum,Alejandro Perez vs. Patrick Williams,Patrick Williams,107
2015-11-21,UFC Fight Night: Magny vs Gastelum,Alejandro Perez vs. Scott Jorgensen,Alejandro Perez,-127
2015-11-21,UFC Fight Night: Magny vs Gastelum,Alejandro Perez vs. Scott Jorgensen,Scott Jorgensen,127
2016-07-13,UFC Fight Night: McDonald vs. Lineker,Aleksei Oleinik vs. Daniel Omielanczuk,Aleksei Oleinik,-104
2016-07-13,UFC Fight Night: McDonald vs. Lineker,Aleksei Oleinik vs. Daniel Omielanczuk,Daniel Omielanczuk,104
2017-01-15,UFC Fight Night: Rodriguez vs. Penn,Aleksei Oleinik vs. Viktor Pesta,Aleksei Oleinik,146
2017-01-15,UFC Fight Night: Rodriguez vs. Penn,Aleksei Oleinik vs. Viktor Pesta,Viktor Pesta,-146
2017-01-28,UFC on FOX: Shevchenko vs. Pena,Alex Caceres vs. Jason Knight,Alex Caceres,-104
2017-01-28,UFC on FOX: Shevchenko vs. Pena,Alex Caceres vs. Jason Knight,Jason Knight,104
2016-01-30,UFC on FOX: Johnson vs. Bader,Alex Caceres vs. Masio Fullen,Alex Caceres,-123
2016-01-30,UFC on FOX: Johnson vs. Bader,Alex Caceres vs. Masio Fullen,Masio Fullen,123
2016-02-21,UFC Fight Night: Cowboy vs Cowboy,Alex Garcia vs. Sean Strickland,Alex Garcia,-100
2016-02-21,UFC Fight Night: Cowboy vs Cowboy,Alex Garcia vs. Sean Strickland,Sean Strickland,100
2016-07-23,UFC on FOX: Holm vs. Shevchenko,Alex Oliveira vs. James Moontasri,Alex Oliveira,-124
2016-07-23,UFC on FOX: Holm vs. Shevchenko,Alex Oliveira vs. James Moontasri,James Moontasri,124
2015-11-07,UFC Fight Night: Belfort vs Henderson 3,Alex Oliveira vs. Piotr Hallmann,Alex Oliveira,119
2015-11-07,UFC Fight Night: Belfort vs Henderson 3,Alex Oliveira vs. Piotr Hallmann,Piotr Hallmann,-119
2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Alex Oliveira vs. Tim Means,Alex Oliveira,107
2017-03-11,UFC Fight Night: Belfort vs. Gastelum,Alex Oliveira vs. Tim Means,Tim Means,-107
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Alexander Gustafsson vs. Glover Teixeira,Alexander Gustafsson,-105
2017-05-28,UFC Fight Night: Gustafsson vs. Teixeira,Alexander Gustafsson vs. Glover Teixeira,Glover Teixeira,105
2016-09-03,UFC Fight Night: Arlovski vs. Barnett,Alexander Gustafsson vs. Jan Blachowicz,Alexander Gustafsson,-110
2016-09-03,UFC Fight Night: Arlovski vs. Barnett,Alexander Gustafsson vs. Jan Blachowicz,Jan Blachowicz,110
2017-06-10,UFC Fight Night: Lewis vs. Hunt,Alexander Volkanovski vs. Mizuto Hirota,Alexander Volkanovski,-198
2017-06-10,UFC Fight Night: Lewis vs. Hunt,Alexander Volkanovski vs. Mizuto Hirota,Mizuto Hirota,198
2017-04-15,UFC on FOX: Johnson vs. Reis,Alexander Volkov vs. Roy Nelson,Alexander Volkov,-182
2017-04-15,UFC on FOX: Johnson vs. Reis,Alexander Volkov vs. Roy Nelson,Roy Nelson,182
2017-09-02,UFC Fight Night: Volkov vs. Struve,Alexander Volkov vs. Stefan Struve,Alexander Volkov,-113
2017-09-02,UFC Fight Night: Volkov vs. Struve,Alexander Volkov vs. Stefan Struve,Stefan Struve,113
2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Alexandre Pantoja vs. Neil Seery,Alexandre Pantoja,-127
2017-07-16,UFC Fight Night: Nelson vs. Ponzinibbio,Alexandre Pantoja vs. Neil Seery,Neil Seery,127
2016-06-18,UFC Fight Night: MacDonald vs Thompson,Ali Bagautinov vs. Geane Herrera,Ali Bagautinov,-100
2016-06-18,UFC Fight Night: MacDonald vs Thompson,Ali Bagautinov vs. Geane Herrera,Geane Herrera,100
2016-05-08,UFC Fight Night: Overeem vs Arlovski,Alistair Overeem vs. Andrei Arlovski,Alistair Overeem,-128
2016-05-08,UFC Fight Night: Overeem vs Arlovski,Alistair Overeem vs. Andrei Arlovski,Andrei Arlovski,128
2017-03-04,UFC 209: Woodley vs. Thompson 2,Alistair Overeem vs. Mark Hunt,Alistair Overeem,-155
2017-03-04,UFC 209: Woodley vs. Thompson 2,Alistair Overeem vs. Mark Hunt,Mark Hunt,155
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Alvaro Herrera Mendoza vs. Jordan Rinaldi,Alvaro Herrera Mendoza,-105
2017-08-05,UFC Fight Night: Pettis vs. Moreno,Alvaro Herrera Mendoza vs. Jordan Rinaldi,Jordan Rinaldi,105
2017-02-11,UFC 208: Holm vs. De Randamie,Anderson Silva vs. Derek Brunson,Anderson Silva,-105
2017-02-11,UFC 208: Holm vs. De Randamie,Anderson Silva vs. Derek Brunson,Derek Brunson,105
2016-02-27,UFC Fight Night: Silva vs Bisping,Anderson Silva vs. Michael Bisping,Anderson Silva,-121
2016-02-27,UFC Fight Night: Silva vs Bisping,Anderson Silva vs. Michael Bisping,Michael Bisping,121
2017-01-28,UFC on FOX: Shevchenko vs. Pena,Andrei Arlovski vs. Francis Ngannou,Andrei Arlovski,139
2017-01-28,UFC on FOX: Shevchenko vs. Pena,Andrei Arlovski vs. Francis Ngannou,Francis Ngannou,-139
2015-09-05,UFC 191: Johnson vs Dodson 2,Andrei Arlovski vs. Frank Mir,Andrei Arlovski,-157
2015-09-05,UFC 191: Johnson vs Dodson 2,Andrei Arlovski vs. Frank Mir,Frank Mir,157
2016-09-03,UFC Fight Night: Arlovski vs. Barnett,Andrei Arlovski vs. Josh Barnett,Andrei Arlovski,-101
2016-09-03,UFC Fight Night: Arlovski vs. Barnett,Andrei Arlovski vs. Josh Barnett,Josh Barnett,101
2017-06-17,UFC Fight Night: Holm vs. Correia,Andrei Arlovski vs. Marcin Tybura,Andrei Arlovski,160
2017-06-17,UFC Fight Night: Holm vs. Correia,Andrei Arlovski vs. Marcin Tybura,Marcin Tybura,-160
2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov,Andrew Sanchez vs. Trevor Smith,Andrew Sanchez,-146
2016-12-09,UFC Fight Night: Lewis vs. Abdurakhimov,Andrew Sanchez vs. Trevor Smith,Trevor Smith,146
2016-07-07,UFC Fight Night: Dos Anjos vs. Alvarez,Anthony Birchak vs. Dileno Lopes,Anthony Birchak,-147
2016-07-07,UFC Fight Night: Dos Anjos vs. Alvarez,Anthony Birchak vs. Dileno Lopes,Dileno Lopes,147
2016-07-30,UFC 201: Lawler vs. Woodley,Anthony Hamilton vs. Damian Grabowski,Anthony Hamilton,-120
2016-07-30,UFC 201: Lawler vs. Woodley,Anthony Hamilton vs. Damian Grabowski,Damian Grabowski,120
2017-09-16,UFC Fight Night: Rockhold vs. Branch,Anthony Hamilton vs. Daniel Spitz,Anthony Hamilton,117
2017-09-16,UFC Fight Night: Rockhold vs. Branch,Anthony Hamilton vs. Daniel Spitz,Daniel Spitz,-117
2016-02-21,UFC Fight Night: Cowboy vs Cowboy,Anthony Hamilton vs. Shamil Abdurakhimov,Anthony Hamilton,-132
